Geog Key;Geog Name;Prod Key;Prod Name;Periode;P06 2014;P07 2014;P08 2014;P09 2014;P10 2014;P11 2014;P12 2014;P01 2015;P02 2015;P03 2015;P04 2015;P05 2015
656980;National XXX;1;TOTAL SDV;Periode en cours;9.4842896354796;8.9850183368945;8.41492131067;9.1288701121026;9.1443595430131;8.9623385774658;7.5522201693033;9.2655326962483;9.6917119745859;9.4838019818732;9.4544796147592;9.5049641753067
656980;National XXX;1;TOTAL SDV;A-1;9.4293207555889;9.0929775859785;8.6275636855163;8.8272112774192;8.9534320820631;8.8161306035321;7.4603130667612;9.0780930108365;9.5352024492824;9.5256233612519;9.3127018726943;9.4328264696853
0;National XXX;1;TOTAL SDV;Ecart vs A-1;0.054968879890787;-0.10795924908401;-0.21264237484633;0.30165883468345;0.19092746095003;0.14620797393361;0.091907102542089;0.18743968541183;0.15650952530348;-0.04182137937872;0.14177774206486;0.072137705621389
656295;XXX INTEGRE;1;TOTAL SDV;Periode en cours;9.5251380088164;8.9858454295926;8.4172738822549;9.1836573078882;9.2093984684259;9.0127371055944;7.5732775574082;9.3421678618695;9.7808386295846;9.5719018275757;9.5273339381749;9.5800108696414
656295;XXX INTEGRE;1;TOTAL SDV;A-1;9.4631582753544;9.0792971661097;8.6113407413347;8.8666808170849;8.9916018173224;8.8578955507695;7.472041511582;9.1317041003188;9.6088605962225;9.5936104333974;9.378899698751;9.4767773661091
0;XXX INTEGRE;1;TOTAL SDV;Ecart vs A-1;0.061979733462016;-0.09345173651711;-0.1940668590798;0.31697649080327;0.21779665110353;0.15484155482491;0.10123604582616;0.21046376155073;0.17197803336211;-0.02170860582166;0.14843423942382;0.10323350353228
656294;DG SUD INTEGRE;1;TOTAL SDV;Periode en cours;10.133319319184;9.4395137323873;9.0332816760842;9.8363903867579;9.8550344464546;9.6783050177425;8.1131819986691;10.062636774023;10.66658824713;10.400779180937;10.341195407731;10.227417475507
656294;DG SUD INTEGRE;1;TOTAL SDV;A-1;10.157029715066;9.5758357975497;9.2259461257159;9.6636590798017;9.7667059647172;9.5542714921704;8.0790474290827;9.8883493348675;10.540599792545;10.344880062008;10.103589137953;10.239437088042
0;DG SUD INTEGRE;1;TOTAL SDV;Ecart vs A-1;-0.02371039588261;-0.1363220651624;-0.19266444963172;0.17273130695625;0.088328481737401;0.1240335255721;0.034134569586376;0.17428743915515;0.12598845458522;0.055899118929307;0.23760626977733;-0.01201961253462
656282;Territoire AQUITAINE;1;TOTAL SDV;Periode en cours;10.918428002381;10.203516425589;9.5739700742414;10.57419515222;10.886859300199;10.488456565668;8.8629757133182;11.015580156828;11.722364196384;11.409183301665;11.403467436807;11.255585346296
656282;Territoire AQUITAINE;1;TOTAL SDV;A-1;10.583747674186;9.9492803753067;9.5386890636652;9.980887908084;10.25449974737;10.066070270312;8.502026507553;10.522094285567;10.961925081125;10.987345943254;10.772546527836;11.007287564032
0;Territoire AQUITAINE;1;TOTAL SDV;Ecart vs A-1;0.33468032819449;0.25423605028198;0.035281010576186;0.59330724413566;0.63235955282878;0.42238629535625;0.36094920576514;0.49348587126013;0.76043911525955;0.42183735841073;0.63092090897153;0.24829778226394
656117;XXX GRADIGNAN 1253;1;TOTAL SDV;Periode en cours;3.7056936140878;3.359171440035;3.1729394417621;3.4372788464915;3.5378819587287;3.4523501149166;2.6106694518023;3.407119372534;3.7863170496642;3.7689426390901;3.6761031740649;3.6953009188984
656117;XXX GRADIGNAN 1253;1;TOTAL SDV;A-1;3.6295032106105;3.5478459217148;3.2022692561696;3.2965375280252;3.3803146995725;3.3191751775251;2.5246843115127;3.2750754916678;3.6397759117381;3.7218835403539;3.6024496982757;3.7222866013838
0;XXX GRADIGNAN 1253;1;TOTAL SDV;Ecart vs A-1;0.076190403477293;-0.18867448167985;-0.02932981440752;0.14074131846629;0.15756725915617;0.1331749373915;0.085985140289634;0.13204388086618;0.14654113792614;0.047059098736183;0.073653475789272;-0.0269856824854
656118;XXX LA BREDE 1345;1;TOTAL SDV;Periode en cours;6.176101334823;6.0137176630812;5.793779541602;5.9328894753607;5.8718127986874;5.4429022655;4.6548002508687;5.7962106839673;6.0354429617472;6.0058956321481;6.1076278314186;6.0586496205868
656118;XXX LA BREDE 1345;1;TOTAL SDV;A-1;5.8648479485371;6.0094093451405;5.8765870873684;5.4019570917325;5.5646657066801;5.356232859297;4.3972998839477;5.3991890379106;5.8947220439803;5.9160234482669;6.0220290270275;6.0828233853831
0;XXX LA BREDE 1345;1;TOTAL SDV;Ecart vs A-1;0.31125338628591;0.0043083179407359;-0.0828075457664;0.53093238362822;0.30714709200728;0.086669406202948;0.257500366921;0.39702164605668;0.14072091776693;0.089872183881178;0.085598804391075;-0.02417376479629
656128;XXX FONBEAUZARD 1048;1;TOTAL SDV;Periode en cours;4.6174063929447;4.367272910289;4.1490757611738;4.659524541571;4.7219438313198;4.5070644188391;3.7870645280853;4.9046820219163;5.1992069024133;5.1814095289453;5.3691591339161;5.1482249151121
656128;XXX FONBEAUZARD 1048;1;TOTAL SDV;A-1;4.4865341776502;4.1857499991057;3.9871603715618;4.2543230492973;4.3050703494632;4.0686447418922;3.487126435687;4.3686933531188;4.7102394058906;4.5284944461953;4.6858714955635;4.6735767589165
0;XXX FONBEAUZARD 1048;1;TOTAL SDV;Ecart vs A-1;0.13087221529448;0.18152291118334;0.161915389612;0.40520149227365;0.41687348185662;0.43841967694693;0.29993809239829;0.53598866879748;0.48896749652276;0.65291508274999;0.68328763835265;0.47464815619562
